2025-12-08 16:09:31 | INFO | Config saved to ./logs/TimeLLM_ETTh1_TimeLLM-ETTh1-GPT2_20251208_160931/config.json
2025-12-08 16:09:31 | INFO | Experiment Setting: long_term_forecast_ETTh1_512_96_TimeLLM_ETTh1_ftM_sl512_ll48_pl96_dm32_nh8_el2_dl1_df128_fc3_ebtimeF_Exp_0
2025-12-08 16:09:31 | INFO | Training iteration: 1/1
2025-12-08 19:05:49 | INFO | Epoch 014 | Iter 00900/1004 | Loss: 0.3241040 | Speed: 0.5428s/iter | ETA: 0h 10m
2025-12-08 19:06:51 | INFO | Epoch 014 | Iter 01000/1004 | Loss: 0.4466476 | Speed: 0.6290s/iter | ETA: 0h 10m
2025-12-08 19:10:00 | INFO | Epoch 014 | Train Loss: 0.3603768 | Vali Loss: 0.7707933 | Test Loss: 0.3864666 | MAE: 0.4096606 | Time: 592.83s | LR: 9.77e-08
2025-12-08 19:10:58 | INFO | Epoch 015 | Iter 00100/1004 | Loss: 0.3955466 | Speed: 2.4701s/iter | ETA: 0h 37m
2025-12-08 19:11:59 | INFO | Epoch 015 | Iter 00200/1004 | Loss: 0.4138292 | Speed: 0.6089s/iter | ETA: 0h 8m
2025-12-08 19:12:58 | INFO | Epoch 015 | Iter 00300/1004 | Loss: 0.4110076 | Speed: 0.5909s/iter | ETA: 0h 6m
2025-12-08 19:13:53 | INFO | Epoch 015 | Iter 00400/1004 | Loss: 0.2601314 | Speed: 0.5434s/iter | ETA: 0h 5m
2025-12-08 19:14:54 | INFO | Epoch 015 | Iter 00500/1004 | Loss: 0.3912104 | Speed: 0.6144s/iter | ETA: 0h 5m
2025-12-08 19:15:54 | INFO | Epoch 015 | Iter 00600/1004 | Loss: 0.3124573 | Speed: 0.5985s/iter | ETA: 0h 4m
2025-12-08 19:16:47 | INFO | Epoch 015 | Iter 00700/1004 | Loss: 0.4454782 | Speed: 0.5329s/iter | ETA: 0h 2m
2025-12-08 19:17:50 | INFO | Epoch 015 | Iter 00800/1004 | Loss: 0.2943879 | Speed: 0.6272s/iter | ETA: 0h 2m
2025-12-08 19:18:48 | INFO | Epoch 015 | Iter 00900/1004 | Loss: 0.2496856 | Speed: 0.5803s/iter | ETA: 0h 1m
2025-12-08 19:19:43 | INFO | Epoch 015 | Iter 01000/1004 | Loss: 0.3679348 | Speed: 0.5453s/iter | ETA: 0h 0m
2025-12-08 19:22:53 | INFO | Epoch 015 | Train Loss: 0.3604647 | Vali Loss: 0.7704613 | Test Loss: 0.3864615 | MAE: 0.4096564 | Time: 585.55s | LR: 4.88e-08
2025-12-08 19:22:53 | INFO | Early stopping triggered
2025-12-08 19:22:53 | INFO | Results saved to ./logs/TimeLLM_ETTh1_TimeLLM-ETTh1-GPT2_20251208_160931/results.json
2025-12-08 19:22:53 | INFO | Experiment logs directory: ./logs/TimeLLM_ETTh1_TimeLLM-ETTh1-GPT2_20251208_160931
